pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,z,83,3,20,v,0,2.0446017999202013,None,20,3,83,3,,,,,227.2808280000463,,227.2655686000362,227.2808280000463,228.2803357001394,228.2803357001394,228.2803357001394,228.2803357001394,228.2803357001394,229.2795101001393,229.2795101001393,231.3282039000187,v,0,2.0446017999202013,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,84,0,21,z,0,0.5696827999781817,None,21,0,84,0,,,,,231.34402450011112,,231.32844540011138,231.34402450011112,232.34356599999592,232.34356599999592,232.34356599999592,232.34356599999592,232.34356599999592,233.34272790001705,233.34272790001705,233.9266598999966,z,0,0.5696827999781817,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,85,1,21,x,0,0.37432709988206625,None,21,1,85,1,,,,,233.94220119994134,,233.92725119995885,233.94220119994134,234.94162910012528,234.94162910012528,234.94162910012528,234.94162910012528,234.94162910012528,235.94032910000533,235.94032910000533,236.32515110005625,x,0,0.37432709988206625,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,86,2,21,c,1,0.39660400012508035,None,21,2,86,2,,,,,236.34004570008256,,236.325967800105,236.34004570008256,237.33957580011338,237.33957580011338,237.33957580011338,237.33957580011338,237.33957580011338,238.3385924999602,238.3385924999602,238.7389030000195,c,1,0.39660400012508035,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,87,3,21,v,0,0.3680193000473082,None,21,3,87,3,,,,,238.75501530012116,,238.73945909994654,238.75501530012116,239.7540470000822,239.7540470000822,239.7540470000822,239.7540470000822,239.7540470000822,240.75337440008298,240.75337440008298,241.13740550004877,v,0,0.3680193000473082,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,88,0,22,z,0,1.4151339000090957,None,22,0,88,0,,,,,241.15299249999225,,241.13828209997155,241.15299249999225,242.15187950013205,242.15187950013205,242.15187950013205,242.15187950013205,242.1685641000513,243.15133889997378,243.15133889997378,244.56752200005576,z,0,1.4151339000090957,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,89,1,22,x,0,0.4383157999254763,None,22,1,89,1,,,,,244.58351589995436,,244.5680655001197,244.58351589995436,245.5827770999167,245.5827770999167,245.5827770999167,245.5827770999167,245.5827770999167,246.5819608999882,246.5819608999882,247.0323421000503,x,0,0.4383157999254763,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,90,2,22,c,1,0.41067649982869625,None,22,2,90,2,,,,,247.04813829995692,,247.03286770009436,247.04813829995692,248.04722910001874,248.04722910001874,248.04722910001874,248.04722910001874,248.06386919994839,249.04666640004143,249.04666640004143,249.46321630012244,c,1,0.41067649982869625,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,91,3,22,v,0,0.3312397999688983,None,22,3,91,3,,,,,249.4792317999527,,249.46350500010885,249.4792317999527,250.4787163999863,250.4787163999863,250.4787163999863,250.4787163999863,250.4787163999863,251.47762569994666,251.47762569994666,251.81134469993412,v,0,0.3312397999688983,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,92,0,23,z,0,0.4560082999523729,None,23,0,92,0,,,,,251.82732950011268,,251.8118344999384,251.82732950011268,252.81025320012122,252.81025320012122,252.81025320012122,252.81025320012122,252.8270902999211,253.8261053999886,253.8261053999886,254.29306900012307,z,0,0.4560082999523729,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
