thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,0,24,down,1,0.7212250002194196,None,4,24,0,24,0,62.45190139999613,,62.43421779992059,62.45190139999613,63.43440239992924,63.44914979999885,64.16611610003747,down,1,0.7212250002194196,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
25,0,25,up,1,0.9861262000631541,None,0,25,0,25,0,64.18354530003853,,64.16649089986458,64.18354530003853,65.16614459990524,65.18120980006643,66.16445559985004,up,1,0.9861262000631541,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
26,0,26,up,1,0.7462092000059783,None,0,26,0,26,0,66.1820634000469,,66.16482859989628,66.1820634000469,67.16459010005929,67.17949280003086,67.91283809999004,up,1,0.7462092000059783,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
27,0,27,down,1,1.7258323000278324,None,1,27,0,27,0,67.93103690003045,,67.91324959998019,67.93103690003045,68.91312549985014,68.94485550001264,70.64414089987986,down,1,1.7258323000278324,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
28,0,28,up,1,0.5229604998603463,None,0,28,0,28,0,70.6617777000647,,70.64452029997483,70.6617777000647,71.64431119989604,71.65924139996059,72.17605039989576,up,1,0.5229604998603463,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
29,0,29,up,1,0.7315923001151532,None,0,29,0,29,0,72.19370219996199,,72.17643809993751,72.19370219996199,73.17654090002179,73.19128739996813,73.92396240006201,up,1,0.7315923001151532,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
30,0,30,up,1,0.6022475000936538,None,0,30,0,30,0,73.94265189999714,,73.92420069989748,73.94265189999714,74.92464079987258,74.95642619999126,75.53993339999579,up,1,0.6022475000936538,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
31,0,31,up,1,0.9414156000129879,None,0,31,0,31,0,75.55782209988683,,75.5403273999691,75.55782209988683,76.54079800006002,76.55533199990168,77.48878520005383,up,1,0.9414156000129879,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
32,0,32,down,1,0.6507196999154985,None,4,32,0,32,0,77.50611139996909,,77.48920059995726,77.50611139996909,78.48888919991441,78.50387199991383,79.15371629991569,down,1,0.6507196999154985,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
33,0,33,down,1,0.7754474000539631,None,-3,33,0,33,0,79.17158229998313,,79.15413689985871,79.17158229998313,80.15390709997155,80.18560169986449,80.93513999995776,down,1,0.7754474000539631,None,-3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
34,0,34,down,0,1.5337159000337124,None,0,34,0,34,0,80.95328109990805,,80.93528830003925,80.95328109990805,81.93595779989846,81.95080560003407,83.48340719984844,down,0,1.5337159000337124,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
35,0,35,down,1,0.8238983999472111,None,-3,35,0,35,0,83.50103699997999,,83.48380240006372,83.50103699997999,84.4841358999256,84.49868049984798,85.3148481999524,down,1,0.8238983999472111,None,-3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
