pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,46,2,11,c,1,0.6015583998523653,None,11,2,46,2,,,,,180.27622810006142,,180.26020590006374,180.27622810006142,181.2758196000941,181.2592363001313,181.2592363001313,181.2592363001313,181.2592363001313,182.2750234999694,182.2750234999694,182.8916529000271,c,1,0.6015583998523653,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,47,3,11,v,0,0.6540111000649631,None,11,3,47,3,,,,,182.90793280000798,,182.892149399966,182.90793280000798,183.9071025000885,183.9071025000885,183.9071025000885,183.9071025000885,183.9071025000885,184.90628120000474,184.90628120000474,185.57218040013686,v,0,0.6540111000649631,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,48,0,12,z,0,0.8959842999465764,None,12,0,48,0,,,,,185.5888221000787,,185.5723737999797,185.5888221000787,186.5877603001427,186.5877603001427,186.5877603001427,186.5877603001427,186.5877603001427,187.58740900014527,187.58740900014527,188.4868852000218,z,0,0.8959842999465764,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,49,1,12,x,0,0.4389936001971364,None,12,1,49,1,,,,,188.50314040016383,,188.4872316000983,188.50314040016383,189.50277350004762,189.50277350004762,189.50277350004762,189.50277350004762,189.50277350004762,190.50143990013748,190.50143990013748,190.95181800005957,x,0,0.4389936001971364,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,50,2,12,c,1,0.4941501000430435,None,12,2,50,2,,,,,190.96791080012918,,190.95255980012007,190.96791080012918,191.9670828001108,191.9670828001108,191.9670828001108,191.9670828001108,191.9670828001108,192.9658091000747,192.9658091000747,193.46628400008194,c,1,0.4941501000430435,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,51,3,12,v,0,0.3607054001186043,None,12,3,51,3,,,,,193.48255810001865,,193.46677560009994,193.48255810001865,194.48149690008722,194.48149690008722,194.48149690008722,194.48149690008722,194.48149690008722,195.4807593000587,195.4807593000587,195.84771770006046,v,0,0.3607054001186043,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,52,0,13,z,0,0.8006107998080552,None,13,0,52,0,,,,,195.86375409993343,,195.84825369995087,195.86375409993343,196.86271240003407,196.86271240003407,196.86271240003407,196.86271240003407,196.86271240003407,197.86212490010075,197.86212490010075,198.6789434000384,z,0,0.8006107998080552,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,53,1,13,x,0,0.6024412999395281,None,13,1,53,1,,,,,198.69493040000089,,198.67944550001994,198.69493040000089,199.69393060007133,199.69393060007133,199.69393060007133,199.69393060007133,199.69393060007133,200.69291860004887,200.69291860004887,201.30942309997045,x,0,0.6024412999395281,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,54,2,13,c,1,0.4373684001620859,None,13,2,54,2,,,,,201.32560350000858,,201.30961270001717,201.32560350000858,202.3252990001347,202.3252990001347,202.3252990001347,202.3252990001347,202.3252990001347,203.32429899997078,203.32429899997078,203.77469009999186,c,1,0.4373684001620859,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,55,3,13,v,0,0.7082696000579745,None,13,3,55,3,,,,,203.79047140013427,,203.77522820001468,203.79047140013427,204.78998759994283,204.78998759994283,204.78998759994283,204.78998759994283,204.78998759994283,205.78857320011593,205.78857320011593,206.50553039996885,v,0,0.7082696000579745,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
